user_id,mix_id,mix_name,mix_tags,track_id,track_name,artist_name,voice_instrumental_value,voice_instrumental_prob,bpm,danceability_value,danceability_prob,tone
21633,88962," ""i got the girls in the truck about six chicks deep and you know if we're rollin then it's straight sexy""","electro, house, remix, party, fun",605779,Never Gonna Stop,LAZRtag
21633,88962," ""i got the girls in the truck about six chicks deep and you know if we're rollin then it's straight sexy""","electro, house, remix, party, fun",290781,Paganini,Hot Pink Delorean
21633,88962," ""i got the girls in the truck about six chicks deep and you know if we're rollin then it's straight sexy""","electro, house, remix, party, fun",182199,Let Me Back Up (Crookers Rmx),Don Rimini
21633,88962," ""i got the girls in the truck about six chicks deep and you know if we're rollin then it's straight sexy""","electro, house, remix, party, fun",369140,I Think I Like It,Fake Blood,instrumental,0.608760535717,128.632110596,danceable,0.998719871044,minor
21633,88962," ""i got the girls in the truck about six chicks deep and you know if we're rollin then it's straight sexy""","electro, house, remix, party, fun",231048,Black Gloves,Goose,voice,0.620228230953,124.827766418,danceable,0.999638617039,major
21633,88962," ""i got the girls in the truck about six chicks deep and you know if we're rollin then it's straight sexy""","electro, house, remix, party, fun",529111,Throw It On Me (The Bloody Beetroots Remix),Timbaland
21633,88962," ""i got the girls in the truck about six chicks deep and you know if we're rollin then it's straight sexy""","electro, house, remix, party, fun",642807,Ace Of Spades (Mustard Pimp Remix),Motorhead,voice,0.998663306236,140.311920166,not_danceable,0.999994695187,major
21633,88962," ""i got the girls in the truck about six chicks deep and you know if we're rollin then it's straight sexy""","electro, house, remix, party, fun",642808,Computer Juice,Computer Juice
21633,88962," ""i got the girls in the truck about six chicks deep and you know if we're rollin then it's straight sexy""","electro, house, remix, party, fun",300625,Mommy Complex,Peaches,voice,0.703126847744,128.348999023,danceable,0.984586834908,minor
21633,88962," ""i got the girls in the truck about six chicks deep and you know if we're rollin then it's straight sexy""","electro, house, remix, party, fun",185140,Must Be a Devil,Diplo,instrumental,0.691121101379,127.996177673,danceable,0.999872744083,minor
21633,88962," ""i got the girls in the truck about six chicks deep and you know if we're rollin then it's straight sexy""","electro, house, remix, party, fun",400272,Keep It Goin' Louder,Major Lazer (featuring Nina Sky and Ricky Blaze)
