user_id,mix_id,mix_name,mix_tags,track_id,track_name,artist_name,focus,voice_instrumental_value,voice_instrumental_prob,bpm,danceability_value,danceability_prob,tone
1152254,760148,1,"focus, thinking",7463653,Dark On Fire,Turin Brakes,1
1152254,760148,1,"focus, thinking",7463815,Between Us  ,Peter Bradley Adams,1,voice,0.996319532394,99.3174743652,not_danceable,0.934110701084,major
1152254,760148,1,"focus, thinking",7463883,The Wanted Glad You Came,Boyce Avenue Acoustic Cover,1
1152254,760148,1,"focus, thinking",7463892,The Tudors (Jonathan Rhys Meyer  Natalie Dormer),The Tudors,1
1152254,760148,1,"focus, thinking",7463960,To Be Alone With You,Sufjan Stevens,1,instrumental,0.838329493999,143.013015747,not_danceable,0.872856736183,minor
1152254,760148,1,"focus, thinking",7464050,Trouble,Coldplay,1
1152254,760148,1,"focus, thinking",7464051,Beautifully Undone   ,Lindy,1
1152254,760148,1,"focus, thinking",7464068,Where The Lonely Ones Roam ,Digital Daggers,1
1152254,760148,1,"focus, thinking",7464103,Crash Into Me,Dave Matthews Band,1
1152254,760148,1,"focus, thinking",7464122,How To Save A Life,The Fray,1
1152254,760148,1,"focus, thinking",7464133,Heaven Or Las Vegas   ,The Weeknd   Thursday Mixtape 720 P,1,voice,0.686361372471,124.957244873,not_danceable,1,minor
1152254,760148,1,"focus, thinking",7464148,Touch The Sky (Carlos Serrano Mix),Kanye West Vs. The Xx   ,1
1152254,760148,1,"focus, thinking",7464167,Special,Mew,1
1152254,760148,1,"focus, thinking",7464195,Don't Cry,Jakalope,1,instrumental,0.884092628956,97.9724349976,danceable,0.999999880791,major
1152254,760148,1,"focus, thinking",7464207,Heartbeat,Childish Gambino,1
1152254,760148,1,"focus, thinking",7464287,Your Hand In Mine,Explosions In The Sky  ,1
1152254,760148,1,"focus, thinking",7464312,High For This,The Weeknd,1,voice,0.798800051212,74.830078125,not_danceable,0.546825289726,minor
1152254,760148,1,"focus, thinking",7464323,Sleepyhead (Neo Tokyo Remix),Passion Pit,1,instrumental,0.995123207569,106.06615448,not_danceable,1,minor
1152254,760148,1,"focus, thinking",7464329, It Ends Tonight,The All American Rejects  ,1
1152254,760148,1,"focus, thinking",7464341,Material Girl ,The Weeknd,1
1152254,760148,1,"focus, thinking",7464342,Gone,The Weeknd,1
1152254,760148,1,"focus, thinking",7464347,White Blank Page ,Mumford And Sons   ,1
1152254,760148,1,"focus, thinking",7464355,The Party  The After Party (Kastle Remix),The Weeknd   ,1
1152254,760148,1,"focus, thinking",7464426, Not Falling Apart (Tiesto Remix Radio Edit),Maroon 5,1,instrumental,0.933011472225,129.90145874,not_danceable,1,major
1152254,760148,1,"focus, thinking",7464451,Say When ,The Fray,1,voice,0.610878646374,153.135742188,danceable,0.731844127178,minor
1152254,760148,1,"focus, thinking",7464460,Reptilia,The Strokes,1
1152254,760148,1,"focus, thinking",7464489,U Got It Bad  Because Of You  Special ,Justin Bieber,1
1152254,760148,1,"focus, thinking",7464492,Doing It Wrong  ,Drake,1,instrumental,0.965947210789,109.065612793,not_danceable,0.68189650774,major
1152254,760148,1,"focus, thinking",7464493,Hate Sleeping Alone ,Drake,1,voice,0.993010222912,78.0060577393,danceable,0.999954819679,minor
1152254,760148,1,"focus, thinking",7464498,Shot For Me ,Drake,1,instrumental,0.978058695793,143.011291504,not_danceable,1,minor
1152254,760148,1,"focus, thinking",7464812,Oh My Love (John Lennon Cover)   ,Yellowcard,1
1152254,760148,1,"focus, thinking",7465068,With Me,Sum 41,1
1152254,760148,1,"focus, thinking",7465099,Somebody That I Used To Know (cover),Walk Off The Earth,1
1152254,760148,1,"focus, thinking",7465159,Never Too Late,Three Days Grace,1
1152254,760148,1,"focus, thinking",7465229, Lights,Ellie Goulding,1
1152254,760148,1,"focus, thinking",7472779,Across The Universe Across The Universe With Lyrics,Jim Sturgess,1
1152254,760148,1,"focus, thinking",7472889,Sweet Disposition,The Temper Trap,1,instrumental,0.989316940308,129.391204834,not_danceable,1,major
1152254,760148,1,"focus, thinking",7472944,Life In Technicolor,Coldplay,1,instrumental,0.802381873131,129.906097412,not_danceable,0.533908963203,major
1152254,760148,1,"focus, thinking",7472957,Take Care,Drake ft. Rihanna ,1
1152254,760148,1,"focus, thinking",7464849,Iris,Goo Goo Dolls,1
1152254,760148,1,"focus, thinking",7472979,Little Dreams (Joshua Mellody Remix),Ellie Goulding,1,voice,0.992027640343,124.95274353,danceable,0.9963966012,minor
