user_id,mix_id,mix_name,mix_tags,track_id,track_name,artist_name,focus,voice_instrumental_value,voice_instrumental_prob,bpm,danceability_value,danceability_prob,tone
538919,397908,Insomnia [staying up late] Sounds,"easy listening, relax, acoustic, indie, focus",4060164,Angel,Massive Attack,1
538919,397908,Insomnia [staying up late] Sounds,"easy listening, relax, acoustic, indie, focus",4290269,Naked As We Came,Iron and Wine,1
538919,397908,Insomnia [staying up late] Sounds,"easy listening, relax, acoustic, indie, focus",4290270,Burn One Down,Ben Harper,1,voice,0.909123063087,105.064331055,not_danceable,0.688420951366,major
538919,397908,Insomnia [staying up late] Sounds,"easy listening, relax, acoustic, indie, focus",4290271,Holocene,Bon Iver,1,voice,0.735519051552,147.901626587,not_danceable,0.982921004295,major
538919,397908,Insomnia [staying up late] Sounds,"easy listening, relax, acoustic, indie, focus",4290272,Candles,ohDaughter,1
538919,397908,Insomnia [staying up late] Sounds,"easy listening, relax, acoustic, indie, focus",4290273,Svefn-G-Englar,Sigur Ros,1,instrumental,0.985077679157,112.588890076,not_danceable,0.925862073898,major
538919,397908,Insomnia [staying up late] Sounds,"easy listening, relax, acoustic, indie, focus",4290275,Love,ohDaughter,1
538919,397908,Insomnia [staying up late] Sounds,"easy listening, relax, acoustic, indie, focus",4290276,Sleep Alone,Bat For Lashes,1,voice,0.8441619277,100.787849426,danceable,0.999186873436,minor
538919,397908,Insomnia [staying up late] Sounds,"easy listening, relax, acoustic, indie, focus",4290296,Green Grass Of Tunnels,múm,1
