user_id,mix_id,mix_name,mix_tags,track_id,track_name,artist_name,voice_instrumental_value,voice_instrumental_prob,bpm,danceability_value,danceability_prob,tone
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424412,Sub Focus - Splash (Feat. Coco) (Rusko Remix),Sub Focus
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424420,Blue Foundation - Eyes On Fire (Zeds Dead Remix),Blue Foundation,voice,0.802214503288,144.864181519,danceable,0.999529778957,minor
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424423,Foxes   Youth (Adventure Club Remix) ,Foxes
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424427,Benga   Smack Your Bitch Up,Benga
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424438,Modestep - Boogey Wonderland,Modestep
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424439,Breakn' A Sweat,Skrillex Feat. Members Of The Doors,voice,0.517857134342,139.949691772,not_danceable,1,minor
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424515,Show Me A Sign,Modestep
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424529,Bass Cannon,Flux Pavilion,instrumental,0.971493542194,139.87449646,danceable,0.999999880791,minor
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424534,Hot Right Now (Camo & Krooked Remix),Dj Fresh Feat. Rita Ora,instrumental,0.919890344143,87.1750183105,danceable,0.999999880791,minor
