user_id,mix_id,mix_name,mix_tags,track_id,track_name,artist_name,focus,voice_instrumental_value,voice_instrumental_prob,bpm,danceability_value,danceability_prob,tone
787742,721117,Your Friendly Exam Companion: The Finale,"study, instrumental, soundtrack, piano, focus",7164581,A Journey To Hogwarts,Nicholas Hooper,1,instrumental,0.994606733322,148.668884277,not_danceable,0.977689981461,major
787742,721117,Your Friendly Exam Companion: The Finale,"study, instrumental, soundtrack, piano, focus",7164587,Imagining,Brian Crain,1,instrumental,0.999998748302,102.359268188,not_danceable,0.999996602535,major
787742,721117,Your Friendly Exam Companion: The Finale,"study, instrumental, soundtrack, piano, focus",7164606,Loss Of Innocence,Stephane Moucha,1,instrumental,0.997458934784,90.9988479614,not_danceable,0.99999755621,minor
787742,721117,Your Friendly Exam Companion: The Finale,"study, instrumental, soundtrack, piano, focus",7164692,"First Drop-Off, First Kiss",James Horner,1,instrumental,0.963345050812,114.517410278,not_danceable,0.973875701427,major
787742,721117,Your Friendly Exam Companion: The Finale,"study, instrumental, soundtrack, piano, focus",7164718,Theme,Jon Brion,1,instrumental,0.999999165535,104.0831604,not_danceable,0.999985456467,minor
787742,721117,Your Friendly Exam Companion: The Finale,"study, instrumental, soundtrack, piano, focus",7164728,Fear and Suspicion,Alexandre Desplat,1,instrumental,0.994477510452,113.655265808,not_danceable,0.980356097221,major
963290,526986,f0cus,"study, focus, homework",5721005,"Frank, AB",The Rural Alberta Advantage,1,instrumental,0.957239985466,129.877258301,not_danceable,0.558919966221,minor
963290,526986,f0cus,"study, focus, homework",5721075,White Winter Hymnal,Fleet Foxes,1,voice,0.947279989719,124.91784668,not_danceable,0.966355204582,major
963290,526986,f0cus,"study, focus, homework",5721087,Raise Your Weapon,Deadmau5,1,voice,0.60136204958,139.956588745,danceable,0.999786198139,major
963290,526986,f0cus,"study, focus, homework",5721142,The Ghost Inside,Broken Bells,1,instrumental,0.952658653259,103.986053467,danceable,0.948704719543,minor
644064,684690,Wavelet Transform,"focus, chiptune, programming, electric",6872115,The Sentinel is Watching,Torcht,1,instrumental,0.816771447659,139.887710571,danceable,0.999997437,minor
644064,684690,Wavelet Transform,"focus, chiptune, programming, electric",6872117,End to a Violent Heart,Torcht,1,voice,0.998648405075,128.015808105,danceable,0.999999284744,major
644064,684690,Wavelet Transform,"focus, chiptune, programming, electric",6872120,Supernova Kiss,Nullsleep,1,instrumental,0.946421742439,91.2197875977,danceable,0.999999880791,minor
644064,684690,Wavelet Transform,"focus, chiptune, programming, electric",6872160,Her Lazer Light Eyes,Nullsleep,1,instrumental,0.926522254944,140.2449646,not_danceable,1,major
644064,684690,Wavelet Transform,"focus, chiptune, programming, electric",6872198,traveling by night,She,1,instrumental,0.90205603838,122.363777161,danceable,0.999969244003,minor
644064,684690,Wavelet Transform,"focus, chiptune, programming, electric",6872214,Alice Practice,Crystal Castles,1,instrumental,0.947292923927,130.387954712,danceable,0.999999880791,major
301485,373568,DETERMINATION,"determined, gritty, focused",3933838,Outer Accelerator,Stereolab,1,instrumental,0.999998271465,144.099899292,not_danceable,1,major
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7670190,Radio Song,Superbus,1,instrumental,0.714337229729,156.197219849,not_danceable,0.645700156689,minor
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7677262,Dog Days Are Over,Florence + The Machine,1,voice,0.751553535461,150.00177002,danceable,0.904182493687,major
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7677386,Perth,Bon Iver,1,instrumental,0.880041480064,119.775016785,not_danceable,0.971265733242,major
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7677406,"Sing, Theresa Says",Greg Laswell,1,instrumental,0.822569489479,144.870269775,not_danceable,0.815017461777,minor
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7677418,Two Against One (feat. Jack White),Danger Mouse & Daniele Luppi,1,voice,0.941542088985,119.262443542,not_danceable,0.74471282959,minor
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7677470,I Follow Rivers,Lykke Li,1,instrumental,0.71889680624,122.476394653,danceable,0.531559169292,minor
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7677488,Louder Than Ever,Cold War Kids,1,instrumental,0.646709144115,151.470016479,danceable,0.91595685482,minor
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7677505,Naked Kids,Grouplove,1,voice,0.979282975197,104.944526672,danceable,0.574955642223,major
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7677528,The Breakup,The Rural Alberta Advantage,1,instrumental,0.992419064045,156.360351562,not_danceable,1,minor
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7576480,The Underdog,Spoon,1,voice,0.912877082825,144.865936279,danceable,0.956513643265,major
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7677774,Head Full of Doubt / Road Full of Promise,The Avett Brothers,1,instrumental,0.897316157818,178.206222534,not_danceable,0.905008673668,major
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7677811,Holocene,Bon Iver,1,voice,0.735519051552,147.901626587,not_danceable,0.982921004295,major
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7677832,Skinny Love,Bon Iver,1,voice,0.999934911728,152.596832275,not_danceable,0.989834010601,major
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7677887,Till I Get There,Lupe Fiasco,1,voice,0.628332912922,86.9857254028,danceable,0.996301651001,major
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7677950,Big Wave,Jenny and Johnny,1,voice,0.71682035923,144.259368896,danceable,0.687574446201,major
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7678381,Helena Beat,Foster the People,1,voice,0.991126894951,126.955848694,danceable,0.993858337402,major
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7678450,Poor Atlas,Dessa,1,voice,0.999736905098,164.943557739,not_danceable,0.948653578758,minor
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7678515,Head Full of Doubt / Road Full of Promise,The Avett Brothers,1,instrumental,0.897316157818,178.206222534,not_danceable,0.905008673668,major
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7678625,City With No Children,Arcade Fire,1,voice,0.99561470747,128.203979492,not_danceable,0.999986708164,major
945311,774693,Indie super collection,"summer, study, indie rock, indie, focus",7678762,Freefallin',Atmosphere,1,voice,0.880376577377,93.9622879028,not_danceable,1,major
791777,644676,Cool Beats,"instrumental, feel good, homework, relax, focus",6563720,Belispeak,Purity Ring,1,instrumental,0.996571004391,104.997390747,not_danceable,1,minor
791777,644676,Cool Beats,"instrumental, feel good, homework, relax, focus",6564285,You're My Excuse To Travel,Baths ,1,voice,0.750745534897,94.9437713623,danceable,0.999423921108,major
791777,644676,Cool Beats,"instrumental, feel good, homework, relax, focus",6567133,Before I Move Off,Mount Kimbie,1,instrumental,0.976245105267,104.981803894,danceable,0.854217410088,major
791777,644676,Cool Beats,"instrumental, feel good, homework, relax, focus",6567216,Babys (4AD/Jagjaguwar Session),Bon Iver,1,instrumental,1,184.570129395,not_danceable,1,major
791777,644676,Cool Beats,"instrumental, feel good, homework, relax, focus",6649995,Tea Leaf Dancers Feat. Andreya Triana,Flying Lotus,1,voice,0.840628921986,89.9166641235,danceable,0.999999880791,minor
791777,644676,Cool Beats,"instrumental, feel good, homework, relax, focus",6650065,Unexpected Delight feat. Laura Darlington,Flying Lotus,1,instrumental,0.50847196579,98.6143341064,not_danceable,0.797600984573,minor
671333,514464,Get You Moving.,"tiesto, sub focus, fedde le grand, paper diamond, dance",5634055,Must Be The Feeling,Nero,1,voice,0.986478745937,128.158584595,danceable,0.999999880791,minor
671333,514464,Get You Moving.,"tiesto, sub focus, fedde le grand, paper diamond, dance",5634226,The Matrix,Bassnectar,1,voice,0.812274754047,85.011505127,danceable,0.999999880791,major
671333,514464,Get You Moving.,"tiesto, sub focus, fedde le grand, paper diamond, dance",5634288,Can We Go Up,Paper Diamond,1,instrumental,0.908704102039,138.027893066,danceable,0.999952852726,minor
