focus,voice_instrumental_value,instrumental,voice,danceability_value,danceable,not_danceable,mood_acoustic_value,acoustic,not_acoustic,mood_aggressive_value,aggressive,not_aggressive,mood_party_value,party,not_party,mood_relaxed_value,relaxed,not_relaxed,tone,bpm
1,voice,0.278741449118,0.721258580685,danceable,0.999999523163,4.75640348441e-07,not_acoustic,0.0212972983718,0.97870272398,aggressive,0.58484685421,0.41515314579,party,0.801415085793,0.198584929109,not_relaxed,0.5,0.5,minor,122.950889587
1,instrumental,0.999997079372,2.91729907076e-06,not_danceable,3.00000096379e-14,1,not_acoustic,0.0955903604627,0.904409646988,not_aggressive,3.00000096379e-14,1,not_party,1.57784197654e-05,0.999984204769,relaxed,0.808817088604,0.191182896495,minor,133.72694397
1,instrumental,0.999984145164,1.58309921972e-05,danceable,0.997255444527,0.00274455081671,not_acoustic,0.00274987262674,0.997250139713,not_aggressive,0.263440996408,0.736559033394,party,0.715501785278,0.284498214722,relaxed,0.667515814304,0.332484155893,major,132.018325806
1,voice,0.394253045321,0.605746984482,not_danceable,0.107338875532,0.892661094666,acoustic,0.956399083138,0.0436009019613,not_aggressive,0.0238075051457,0.976192474365,not_party,0.0577775910497,0.942222416401,relaxed,0.993031561375,0.00696843210608,minor,131.325531006
1,instrumental,0.842903614044,0.157096415758,danceable,0.990633845329,0.0093661332503,not_acoustic,0.101562522352,0.8984375,not_aggressive,0.0293394476175,0.970660567284,not_party,0.47050088644,0.52949911356,relaxed,0.603689730167,0.396310269833,minor,125.044502258
1,voice,0.337942004204,0.662057995796,not_danceable,0.0182734597474,0.981726527214,acoustic,0.964480042458,0.0355199575424,not_aggressive,0.031150015071,0.968849956989,not_party,0.0390038266778,0.96099615097,relaxed,0.991369783878,0.00863018725067,major,136.408798218
1,instrumental,0.99217903614,0.00782099179924,not_danceable,3.00000096379e-14,1,not_acoustic,0.0955903604627,0.904409646988,not_aggressive,3.00000096379e-14,1,not_party,1.57784197654e-05,0.999984204769,relaxed,0.808817088604,0.191182896495,minor,97.5296554565
1,instrumental,0.979059934616,0.0209400393069,not_danceable,0.00598016893491,0.994019806385,acoustic,0.98930311203,0.0106968637556,not_aggressive,0.0102424509823,0.989757537842,not_party,0.010760275647,0.989239752293,relaxed,0.910874247551,0.0891257673502,minor,122.722183228
1,voice,0.0724407583475,0.927559256554,danceable,0.805740773678,0.194259256124,not_acoustic,0.00557775981724,0.994422256947,aggressive,0.692953169346,0.307046800852,party,0.713317751884,0.286682248116,relaxed,0.572425484657,0.427574515343,minor,138.864273071
1,instrumental,0.952334344387,0.0476656295359,danceable,0.96124958992,0.0387503914535,not_acoustic,0.036273509264,0.963726520538,not_aggressive,0.0784300193191,0.921570003033,not_party,0.235041439533,0.764958560467,relaxed,0.842357993126,0.157641991973,minor,106.74055481
