user_id,mix_id,mix_name,mix.tags,track_id,track_name,artist_name
433,348,Parade on Thursday,"alternative rock, rap",3732,Read My Mind,The Killers
433,348,Parade on Thursday,"alternative rock, rap",3581,Code Monkey,Jonathan Coulton
433,348,Parade on Thursday,"alternative rock, rap",3749,Highway Star,Deep Purple
433,348,Parade on Thursday,"alternative rock, rap",3721,Let's Make Love and Listen to Death From Above,CSS
433,348,Parade on Thursday,"alternative rock, rap",3566,Time to Pretend,MGMT
433,348,Parade on Thursday,"alternative rock, rap",3715,Pork and Beans,Weezer
433,348,Parade on Thursday,"alternative rock, rap",3568,Ocean Spray,Manic Street Preachers
433,348,Parade on Thursday,"alternative rock, rap",3583,Fight For Your Right,Beastie Boys
433,348,Parade on Thursday,"alternative rock, rap",3712,Handshakes,Metric
433,348,Parade on Thursday,"alternative rock, rap",3580,Take Me Out,Franz Ferdinand
