user_id,mix_id,mix_name,mix_tags,track_id,track_name,artist_name,focus,voice_instrumental_value,instrumental,voice,danceability_value,danceable,not_danceable,mood_acoustic_value,acoustic,not_acoustic,mood_aggressive_value,aggressive,not_aggressive,mood_party_value,party,not_party,mood_relaxed_value,relaxed,not_relaxed,tone,bpm
738438,720233,Get on with it,"study, instrumental, soundtrack, focus, motivation",7265905,Keeping Up With The Jones,Michael Giacchino,1
738438,720233,Get on with it,"study, instrumental, soundtrack, focus, motivation",7265934,Summer Overture ,Clint Mansell,1,instrumental,1,9.66534699498e-11,not_danceable,3.00000096379e-14,1,not_acoustic,0.0910185053945,0.908981502056,not_aggressive,3.00000096379e-14,1,not_party,1.57557242346e-05,0.999984264374,relaxed,0.808817088604,0.191182896495,minor,133.997177124
738438,720233,Get on with it,"study, instrumental, soundtrack, focus, motivation",7266055,Arrival Of The Birds,The Cinematic Orchestra   ,1,instrumental,0.999999940395,3.04553076091e-08,not_danceable,3.00000096379e-14,1,not_acoustic,0.0955903604627,0.904409646988,not_aggressive,3.00000096379e-14,1,not_party,1.57784197654e-05,0.999984204769,relaxed,0.808817088604,0.191182896495,minor,142.393707275
738438,720233,Get on with it,"study, instrumental, soundtrack, focus, motivation",7266091,The Maelstrom,Robert W. Smith   ,1
738438,720233,Get on with it,"study, instrumental, soundtrack, focus, motivation",7266367,Fire And Blood,Ramin Djawadi,1
738438,720233,Get on with it,"study, instrumental, soundtrack, focus, motivation",7266428,L'absente,Yann Tiersen   ,1,instrumental,0.999999880791,1.29066208387e-07,not_danceable,0.00601652218029,0.993983507156,acoustic,0.990821003914,0.00917898584157,not_aggressive,0.0127126835287,0.987287342548,not_party,0.00169592921156,0.998304069042,relaxed,0.995799720287,0.00420030765235,major,117.79637146
738438,720233,Get on with it,"study, instrumental, soundtrack, focus, motivation",7266702,Something Under Her Skin,Max Richter   ,1,instrumental,0.87810343504,0.12189655751,not_danceable,0.0182729456574,0.981727063656,not_acoustic,0.197043091059,0.802956938744,not_aggressive,0.0130177726969,0.986982226372,not_party,0.0865270271897,0.913472950459,relaxed,0.934747159481,0.0652528628707,minor,79.5778045654
738438,720233,Get on with it,"study, instrumental, soundtrack, focus, motivation",7266875,May The Best World Win,Chris Tilton,1,instrumental,0.999999701977,2.97228325508e-07,not_danceable,0.0103252511472,0.98967474699,acoustic,0.946786761284,0.053213223815,not_aggressive,0.0262602232397,0.973739802837,not_party,0.0058862506412,0.994113743305,relaxed,0.995214104652,0.00478586740792,major,143.882644653
738438,720233,Get on with it,"study, instrumental, soundtrack, focus, motivation",7158628,Divenire,Ludovico Einaudi,1,instrumental,0.999998927116,1.09078439436e-06,not_danceable,0.00903646182269,0.99096351862,acoustic,0.98355203867,0.0164479780942,not_aggressive,6.49620642434e-06,0.999993503094,not_party,0.00574990734458,0.994250118732,relaxed,0.970889210701,0.0291107781231,minor,125.467590332
738438,720233,Get on with it,"study, instrumental, soundtrack, focus, motivation",7266920,The Heart Asks Pleasure First,Michael Nyman   ,1
738438,720233,Get on with it,"study, instrumental, soundtrack, focus, motivation",7266223,Murderers,John Frusciante   ,1
738438,720233,Get on with it,"study, instrumental, soundtrack, focus, motivation",7266232,The Bishop Of Essex County,Michael Giacchino,1,instrumental,0.999998807907,1.19699143397e-06,not_danceable,3.00000096379e-14,1,not_acoustic,0.0955903604627,0.904409646988,not_aggressive,3.00000096379e-14,1,not_party,1.57784197654e-05,0.999984204769,relaxed,0.808817088604,0.191182896495,minor,140.426177979
