user_id,mix_id,mix_name,mix_tags,track_id,track_name,artist_name,focus,voice_instrumental_value,instrumental,voice,danceability_value,danceable,not_danceable,mood_acoustic_value,acoustic,not_acoustic,mood_aggressive_value,aggressive,not_aggressive,mood_party_value,party,not_party,mood_relaxed_value,relaxed,not_relaxed,tone,bpm
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881411,Smile Around the Face,Four Tet,1,instrumental,0.996419012547,0.00358099583536,not_danceable,3.00000096379e-14,1,not_acoustic,0.0955903604627,0.904409646988,not_aggressive,3.00000096379e-14,1,not_party,1.57784197654e-05,0.999984204769,relaxed,0.808817088604,0.191182896495,major,105.523948669
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881435,There Is No There,The Books,1,instrumental,0.874510586262,0.125489443541,not_danceable,0.0183169469237,0.981683075428,acoustic,0.883170485497,0.116829521954,not_aggressive,0.00253400299698,0.997465968132,not_party,0.0996646955609,0.90033531189,relaxed,0.97249096632,0.0275090429932,major,107.994483948
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881419,Old Devil,Emancipator,1,instrumental,0.999999761581,2.55187728726e-07,not_danceable,3.00000096379e-14,1,not_acoustic,0.0955903604627,0.904409646988,not_aggressive,3.00000096379e-14,1,not_party,1.57784197654e-05,0.999984204769,relaxed,0.808817088604,0.191182896495,major,163.453063965
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881448,Recurring,Bonobo,1,instrumental,0.908633351326,0.091366648674,danceable,0.921395361423,0.0786046609282,acoustic,0.748698592186,0.251301407814,not_aggressive,0.0821355134249,0.917864501476,not_party,0.15687584877,0.84312415123,relaxed,0.919593095779,0.0804069265723,major,114.984130859
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881444,More Streets,Zpiderflower,1
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881414,Give It Away,Zero 7,1,instrumental,0.990842878819,0.00915712770075,not_danceable,0.46197873354,0.53802126646,not_acoustic,0.261062026024,0.738937973976,not_aggressive,0.0201662573963,0.979833722115,not_party,0.109811410308,0.890188574791,relaxed,0.699782252312,0.300217777491,minor,101.259239197
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881446,My Only Swerving,El Ten Eleven,1,instrumental,0.99593436718,0.00406561093405,danceable,0.725829780102,0.274170190096,not_acoustic,0.10016284883,0.899837136269,not_aggressive,4.2401699929e-09,1,not_party,0.116473436356,0.883526563644,relaxed,0.968908846378,0.0310911629349,major,85.9857177734
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881440,That Right Ain't Shit,The Books,1,voice,0.0698913261294,0.93010866642,not_danceable,0.0315001681447,0.968499839306,acoustic,0.719314396381,0.280685573816,not_aggressive,0.0552929826081,0.944707036018,not_party,0.338955432177,0.661044597626,relaxed,0.973852753639,0.0261472631246,major,134.680328369
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881439,Vines,Emancipator,1,instrumental,0.976656317711,0.023343693465,not_danceable,3.00000096379e-14,1,not_acoustic,0.0955903604627,0.904409646988,not_aggressive,3.00000096379e-14,1,not_party,1.57784197654e-05,0.999984204769,relaxed,0.808817088604,0.191182896495,minor,90.0550765991
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881441,As Serious As Your Life,Four Tet,1,instrumental,0.992176234722,0.00782376993448,not_danceable,3.00000096379e-14,1,not_acoustic,0.0955903604627,0.904409646988,not_aggressive,3.00000096379e-14,1,not_party,1.57784197654e-05,0.999984204769,relaxed,0.808817088604,0.191182896495,major,106.955276489
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881413,Before I Move Off,Mount Kimbie,1,instrumental,0.976245105267,0.0237548910081,danceable,0.854217410088,0.145782619715,not_acoustic,0.33527263999,0.664727330208,not_aggressive,2.36004984799e-06,0.999997615814,not_party,0.116471514106,0.883528470993,relaxed,0.951852321625,0.0481476783752,major,104.981803894
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881438,Palisades (Extendomix),P-Love,1
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881447,Realist Alive,Clams Casino,1,instrumental,0.996150195599,0.00384981138632,not_danceable,3.00000096379e-14,1,not_acoustic,0.0955903604627,0.904409646988,not_aggressive,3.00000096379e-14,1,not_party,1.57784197654e-05,0.999984204769,relaxed,0.808817088604,0.191182896495,major,84.9680023193
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881450,Reset,Mute Math,1,instrumental,0.999997615814,2.40282656705e-06,danceable,0.679583668709,0.320416331291,not_acoustic,0.0315304547548,0.968469560146,not_aggressive,0.0976511240005,0.902348875999,not_party,0.437451928854,0.562548100948,relaxed,0.896541714668,0.103458285332,minor,172.265014648
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881418,March at Dawn,Goddamn Electric Bill,1
80774,439591,where is every body going in such a hurry,"electronic, ambient, spacey, focus, study",4881408,Natural,Clams Casino,1
