user_id,mix_id,mix_name,mix_tags,track_id,track_name,artist_name,focus,voice_instrumental_value,instrumental,voice,danceability_value,danceable,not_danceable,mood_acoustic_value,acoustic,not_acoustic,mood_aggressive_value,aggressive,not_aggressive,mood_party_value,party,not_party,mood_relaxed_value,relaxed,not_relaxed,tone,bpm
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424412,Sub Focus - Splash (Feat. Coco) (Rusko Remix),Sub Focus,1
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424420,Blue Foundation - Eyes On Fire (Zeds Dead Remix),Blue Foundation,1,voice,0.197785481811,0.802214503288,danceable,0.999529778957,0.000470224273158,not_acoustic,0.00495184073225,0.995048165321,not_aggressive,3.62936595924e-13,1,not_party,0.00702895456925,0.99297106266,relaxed,0.808850586414,0.191149428487,minor,144.864181519
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424423,Foxes   Youth (Adventure Club Remix) ,Foxes,1
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424427,Benga   Smack Your Bitch Up,Benga,1
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424438,Modestep - Boogey Wonderland,Modestep,1
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424439,Breakn' A Sweat,Skrillex Feat. Members Of The Doors,1,voice,0.482142835855,0.517857134342,not_danceable,3.00000096379e-14,1,not_acoustic,0.014206500724,0.985793471336,not_aggressive,3.00000096379e-14,1,not_party,1.57783742907e-05,0.999984204769,relaxed,0.808817088604,0.191182896495,minor,139.949691772
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424515,Show Me A Sign,Modestep,1
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424529,Bass Cannon,Flux Pavilion,1,instrumental,0.971493542194,0.0285064317286,danceable,0.999999880791,1.00000008274e-07,not_acoustic,6.95749013957e-13,1,not_aggressive,3.00000096379e-14,1,not_party,0.354054927826,0.645945072174,relaxed,0.808817088604,0.191182896495,minor,139.87449646
1416291,755525,"Conquer, Crush and Destroy.","modestep, benga, sub focus, dubstep, rusko",7424534,Hot Right Now (Camo & Krooked Remix),Dj Fresh Feat. Rita Ora,1,instrumental,0.919890344143,0.0801096484065,danceable,0.999999880791,1.00000008274e-07,not_acoustic,5.81823868598e-12,1,not_aggressive,0.0514363795519,0.948563635349,party,0.982666909695,0.0173331107944,relaxed,0.807799339294,0.192200660706,minor,87.1750183105
