user_id,track_name,artist_name,8tracks_id,mbids,playlist_id,tags,playlist_name,path,in_db,danceability_value,danceability_prob,gender_value,gender_prob,genre_dortmund_value,genre_dortmund_prob,genre_electronic_value,genre_electronic_prob,genre_rosamerica_value,genre_rosamerica_prob,genre_tzanetakis_value,genre_tzanetakis_prob,ismir04_rhythm_value,ismir04_rhythm_prob,mood_acoustic_value,mood_acoustic_prob,mood_aggressive_value,mood_aggressive_prob,mood_electronic_value,mood_electronic_prob,mood_happy_value,mood_happy_prob,mood_party_value,mood_party_prob,mood_relaxed_value,mood_relaxed_prob,mood_sad_value,mood_sad_prob,moods_mirex_value,moods_mirex_prob,timbre_value,timbre_prob,tonal_atonal_value,tonal_atonal_prob,voice_instrumental_value,voice_instrumental_prob
7573,When Did Your Heart Go Missing?,Rooney,66003,9a552be4-949d-49ab-aeea-ae476db53764,6694,"pop, alternative &amp; punk, <unknown>",mid nov,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/9/9a/9a552be4-949d-49ab-aeea-ae476db53764-0.json,FALSE
7573,Party For Two,Shania Twain & Mark McGrath,61451,3728d03c-e68d-4023-810c-e79597a72feb,6694,"pop, alternative &amp; punk, <unknown>",mid nov,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/3/37/3728d03c-e68d-4023-810c-e79597a72feb-0.json,TRUE,danceable,0.994970858097,female,0.666564643383,electronic,0.643260359764,ambient,0.64354544878,pop,0.457582831383,jaz,0.313974827528,VienneseWaltz,0.31789702177,not_acoustic,0.955841362476,not_aggressive,0.600277602673,not_electronic,0.580641686916,happy,0.62332212925,not_party,0.573835730553,not_relaxed,0.720622718334,not_sad,0.633403837681,Cluster2,0.409086227417,bright,0.921715855598,tonal,0.982039272785,voice,0.991272747517
7573,Daisy Duke,Rooney,63664,9db5949a-2c64-4326-a27f-b3ffc1fe283a,6694,"pop, alternative &amp; punk, <unknown>",mid nov,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/9/9d/9db5949a-2c64-4326-a27f-b3ffc1fe283a-0.json,FALSE
7573,Tiny Dancer,Elton John,1648,f6b9b518-cec9-4164-8d3a-13ecba91ebfa,6694,"pop, alternative &amp; punk, <unknown>",mid nov,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/f/f6/f6b9b518-cec9-4164-8d3a-13ecba91ebfa-0.json,FALSE
7573,When You Were Young,The Killers,17791,945d29cf-6925-45d4-91cd-f458b6c8f877,6694,"pop, alternative &amp; punk, <unknown>",mid nov,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/9/94/945d29cf-6925-45d4-91cd-f458b6c8f877-0.json,FALSE
7573,Don't Worry Baby,The Beach Boys,19661,d201772a-e88d-4df8-8cef-c83e70499ea0,6694,"pop, alternative &amp; punk, <unknown>",mid nov,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/d/d2/d201772a-e88d-4df8-8cef-c83e70499ea0-0.json,FALSE
7573,Maggie May,Rod Stewart,14039,24944e86-baba-4fa7-8ade-90e8170c0579,6694,"pop, alternative &amp; punk, <unknown>",mid nov,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/2/24/24944e86-baba-4fa7-8ade-90e8170c0579-0.json,TRUE,danceable,0.563711106777,male,0.830096006393,electronic,0.998226821423,ambient,0.629417896271,pop,0.601131796837,jaz,0.313974827528,Tango,0.331157505512,not_acoustic,0.789552748203,not_aggressive,0.81940561533,not_electronic,0.828595042229,happy,0.627585113049,not_party,0.691173493862,relaxed,0.72189193964,not_sad,0.558694183826,Cluster5,0.422683566809,bright,0.999996960163,tonal,0.982429683208,voice,0.5
7573,Brandy (You're A Fine Girl),Looking Glass,52826,0785d19a-3182-4a21-ad96-4c45d02b0d86,6694,"pop, alternative &amp; punk, <unknown>",mid nov,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/0/07/0785d19a-3182-4a21-ad96-4c45d02b0d86-0.json,FALSE
7573,Farmhouse,Phish,6887,2e06813c-2075-4f65-9fbb-6702da56dc8f,6694,"pop, alternative &amp; punk, <unknown>",mid nov,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/2/2e/2e06813c-2075-4f65-9fbb-6702da56dc8f-0.json,FALSE
7573,California Girls,The Beach Boys,29599,f596a86d-40d3-41de-97e5-9ae1a563e993,6694,"pop, alternative &amp; punk, <unknown>",mid nov,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/f/f5/f596a86d-40d3-41de-97e5-9ae1a563e993-0.json,FALSE
